Structure,Prénom,Nom,Mail,Fonction_hiérarchique,Complément_fonction,Téléphone,Mobile
AC/DAC/DGAL/MUS,Sophie,Martin,sophie.martin@example.com,Cheffe de service,,+33 1 23 45 67 89,+33 6 12 34 56 78
AC/DAC/DGAL/MUS,Thomas,Bernard,thomas.bernard@example.com,Adjoint,,+33 1 23 45 67 90,+33 6 12 34 56 79
AC/DAC/DGAL/MUS,Claire,Dubois,claire.dubois@example.com,Gestionnaire,,+33 1 23 45 67 91,+33 6 12 34 56 80
AC/DAC/DGAL/MUS,Pierre,Lambert,pierre.lambert@example.com,Chargé de mission,,+33 1 23 45 67 92,+33 6 12 34 56 81
AC/DAC/DGAL/MUS,Marie,Moreau,marie.moreau@example.com,Assistante,,+33 1 23 45 67 93,+33 6 12 34 56 82
AC/DAC/DGAL/SAS/SDSPV/BSV,Jean,Petit,jean.petit@example.com,Chef de bureau,,+33 1 23 45 67 94,+33 6 12 34 56 83
AC/DAC/DGAL/SAS/SDSPV/BSV,Anne,Robert,anne.robert@example.com,Adjointe,,+33 1 23 45 67 95,+33 6 12 34 56 84
AC/DAC/DGAL/SAS/SDSPV/BSV,Michel,Richard,michel.richard@example.com,Expert technique,,+33 1 23 45 67 96,+33 6 12 34 56 85
AC/DAC/DGAL/SAS/SDSPV/BSV,Catherine,Simon,catherine.simon@example.com,Chargée de projet,,+33 1 23 45 67 97,+33 6 12 34 56 86
AC/DAC/DGAL/SAS/SDSPV/BSV,Laurent,Durand,laurent.durand@example.com,Gestionnaire,,+33 1 23 45 67 98,+33 6 12 34 56 87
SD/DRAAF/DRAAF-AUVERGNE-RHONE-ALPES,François,Leroy,francois.leroy@example.com,Directeur régional,,+33 4 72 45 67 89,+33 6 22 34 56 78
SD/DRAAF/DRAAF-AUVERGNE-RHONE-ALPES,Isabelle,Girard,isabelle.girard@example.com,Directrice adjointe,,+33 4 72 45 67 90,+33 6 22 34 56 79
SD/DRAAF/DRAAF-AUVERGNE-RHONE-ALPES,Philippe,Fontaine,philippe.fontaine@example.com,Chef de service,,+33 4 72 45 67 91,+33 6 22 34 56 80
SD/DRAAF/DRAAF-AUVERGNE-RHONE-ALPES,Sylvie,Rousseau,sylvie.rousseau@example.com,Responsable RH,,+33 4 72 45 67 92,+33 6 22 34 56 81
SD/DRAAF/DRAAF-AUVERGNE-RHONE-ALPES,Nicolas,Vincent,nicolas.vincent@example.com,Chargé de mission,,+33 4 72 45 67 93,+33 6 22 34 56 82
SD/DRAAF/DRAAF-BOURGOGNE-FRANCHE-COMTE,Christine,Mercier,christine.mercier@example.com,Directrice régionale,,+33 3 81 45 67 89,+33 6 32 34 56 78
SD/DRAAF/DRAAF-BOURGOGNE-FRANCHE-COMTE,Patrick,Fournier,patrick.fournier@example.com,Directeur adjoint,,+33 3 81 45 67 90,+33 6 32 34 56 79
SD/DRAAF/DRAAF-BOURGOGNE-FRANCHE-COMTE,Nathalie,Blanc,nathalie.blanc@example.com,Cheffe de service,,+33 3 81 45 67 91,+33 6 32 34 56 80
SD/DRAAF/DRAAF-BOURGOGNE-FRANCHE-COMTE,Henri,Morel,henri.morel@example.com,Responsable formation,,+33 3 81 45 67 92,+33 6 32 34 56 81
SD/DRAAF/DRAAF-BOURGOGNE-FRANCHE-COMTE,Valérie,Gauthier,valerie.gauthier@example.com,Gestionnaire,,+33 3 81 45 67 93,+33 6 32 34 56 82
SD/DRAAF/DRAAF-BRETAGNE,Éric,Lefebvre,eric.lefebvre@example.com,Directeur régional,,+33 2 99 45 67 89,+33 6 42 34 56 78
SD/DRAAF/DRAAF-BRETAGNE,Céline,Perrin,celine.perrin@example.com,Directrice adjointe,,+33 2 99 45 67 90,+33 6 42 34 56 79
SD/DRAAF/DRAAF-BRETAGNE,David,Roux,david.roux@example.com,Chef de pôle,,+33 2 99 45 67 91,+33 6 42 34 56 80
SD/DRAAF/DRAAF-BRETAGNE,Sandrine,Laurent,sandrine.laurent@example.com,Responsable communication,,+33 2 99 45 67 92,+33 6 42 34 56 81
SD/DRAAF/DRAAF-BRETAGNE,Guillaume,Michel,guillaume.michel@example.com,Chargé de projet,,+33 2 99 45 67 93,+33 6 42 34 56 82
SD/DRAAF/DRAAF-CENTRE-VAL-DE-LOIRE,Julien,Garcia,julien.garcia@example.com,Directeur régional,,+33 2 38 45 67 89,+33 6 52 34 56 78
SD/DRAAF/DRAAF-CENTRE-VAL-DE-LOIRE,Caroline,Thomas,caroline.thomas@example.com,Directrice adjointe,,+33 2 38 45 67 90,+33 6 52 34 56 79
SD/DRAAF/DRAAF-CENTRE-VAL-DE-LOIRE,Alexandre,Lefevre,alexandre.lefevre@example.com,Chef de service,,+33 2 38 45 67 91,+33 6 52 34 56 80
SD/DRAAF/DRAAF-CENTRE-VAL-DE-LOIRE,Aurélie,Faure,aurelie.faure@example.com,Responsable budget,,+33 2 38 45 67 92,+33 6 52 34 56 81
SD/DRAAF/DRAAF-CENTRE-VAL-DE-LOIRE,Stéphane,Chevalier,stephane.chevalier@example.com,Chargé de mission,,+33 2 38 45 67 93,+33 6 52 34 56 82
SD/DRAAF/DRAAF-CORSE,Marc,Andre,marc.andre@example.com,Directeur régional,,+33 4 95 45 67 89,+33 6 62 34 56 78
SD/DRAAF/DRAAF-CORSE,Hélène,Boyer,helene.boyer@example.com,Directrice adjointe,,+33 4 95 45 67 90,+33 6 62 34 56 79
SD/DRAAF/DRAAF-CORSE,Pascal,Lemoine,pascal.lemoine@example.com,Chef de service,,+33 4 95 45 67 91,+33 6 62 34 56 80
SD/DRAAF/DRAAF-CORSE,Véronique,Roy,veronique.roy@example.com,Responsable RH,,+33 4 95 45 67 92,+33 6 62 34 56 81
SD/DRAAF/DRAAF-CORSE,Antoine,Marchand,antoine.marchand@example.com,Chargé de mission,,+33 4 95 45 67 93,+33 6 62 34 56 82
SD/DRAAF/DRAAF-GRAND-EST,Bernard,Dupuis,bernard.dupuis@example.com,Directeur régional,,+33 3 87 45 67 89,+33 6 72 34 56 78
SD/DRAAF/DRAAF-GRAND-EST,Florence,Carpentier,florence.carpentier@example.com,Directrice adjointe,,+33 3 87 45 67 90,+33 6 72 34 56 79
SD/DRAAF/DRAAF-GRAND-EST,Thierry,Renard,thierry.renard@example.com,Chef de pôle,,+33 3 87 45 67 91,+33 6 72 34 56 80
SD/DRAAF/DRAAF-GRAND-EST,Martine,Gerard,martine.gerard@example.com,Responsable formation,,+33 3 87 45 67 92,+33 6 72 34 56 81
SD/DRAAF/DRAAF-GRAND-EST,Yves,Mathieu,yves.mathieu@example.com,Chargé de projet,,+33 3 87 45 67 93,+33 6 72 34 56 82
SD/DRAAF/DRAAF-HAUTS-DE-FRANCE,Jacques,Picard,jacques.picard@example.com,Directeur régional,,+33 3 22 45 67 89,+33 6 82 34 56 78
SD/DRAAF/DRAAF-HAUTS-DE-FRANCE,Emmanuelle,Robin,emmanuelle.robin@example.com,Directrice adjointe,,+33 3 22 45 67 90,+33 6 82 34 56 79
SD/DRAAF/DRAAF-HAUTS-DE-FRANCE,Sébastien,Colin,sebastien.colin@example.com,Chef de service,,+33 3 22 45 67 91,+33 6 82 34 56 80
SD/DRAAF/DRAAF-HAUTS-DE-FRANCE,Delphine,Lucas,delphine.lucas@example.com,Responsable communication,,+33 3 22 45 67 92,+33 6 82 34 56 81
SD/DRAAF/DRAAF-HAUTS-DE-FRANCE,Olivier,Masson,olivier.masson@example.com,Chargé de mission,,+33 3 22 45 67 93,+33 6 82 34 56 82
SD/DRAAF/DRAAF-ILE-DE-FRANCE,Gérard,Bertrand,gerard.bertrand@example.com,Directeur régional,,+33 1 41 45 67 89,+33 6 92 34 56 78
SD/DRAAF/DRAAF-ILE-DE-FRANCE,Brigitte,Duval,brigitte.duval@example.com,Directrice adjointe,,+33 1 41 45 67 90,+33 6 92 34 56 79
SD/DRAAF/DRAAF-ILE-DE-FRANCE,Christian,Legrand,christian.legrand@example.com,Chef de pôle,,+33 1 41 45 67 91,+33 6 92 34 56 80
SD/DRAAF/DRAAF-ILE-DE-FRANCE,Patricia,Barbier,patricia.barbier@example.com,Responsable RH,,+33 1 41 45 67 92,+33 6 92 34 56 81
SD/DRAAF/DRAAF-ILE-DE-FRANCE,Frédéric,Lemaire,frederic.lemaire@example.com,Chargé de projet,,+33 1 41 45 67 93,+33 6 92 34 56 82
SD/DRAAF/DRAAF-NORMANDIE,Daniel,Guillot,daniel.guillot@example.com,Directeur régional,,+33 2 31 45 67 89,+33 6 13 34 56 78
SD/DRAAF/DRAAF-NORMANDIE,Sylviane,Brunet,sylviane.brunet@example.com,Directrice adjointe,,+33 2 31 45 67 90,+33 6 13 34 56 79
SD/DRAAF/DRAAF-NORMANDIE,René,Guerin,rene.guerin@example.com,Chef de service,,+33 2 31 45 67 91,+33 6 13 34 56 80
SD/DRAAF/DRAAF-NORMANDIE,Monique,Hubert,monique.hubert@example.com,Responsable budget,,+33 2 31 45 67 92,+33 6 13 34 56 81
SD/DRAAF/DRAAF-NORMANDIE,Alain,Prevost,alain.prevost@example.com,Chargé de mission,,+33 2 31 45 67 93,+33 6 13 34 56 82
SD/DRAAF/DRAAF-NOUVELLE-AQUITAINE,Paul,Meunier,paul.meunier@example.com,Directeur régional,,+33 5 56 45 67 89,+33 6 23 34 56 78
SD/DRAAF/DRAAF-NOUVELLE-AQUITAINE,Françoise,Bouvier,francoise.bouvier@example.com,Directrice adjointe,,+33 5 56 45 67 90,+33 6 23 34 56 79
SD/DRAAF/DRAAF-NOUVELLE-AQUITAINE,Georges,Aubert,georges.aubert@example.com,Chef de pôle,,+33 5 56 45 67 91,+33 6 23 34 56 80
